name,total_acre,Total Ag. Land Use Acres,Total Farmland Acres,Total Pastureland Acres,% Ag. Land in Farms,% Ag. Land in Pasture,farm_perc_tot,pastr_perc_tot,acres_top_ag,% Ag. Land in Total Acres
Alabama,32413911,8458094,2818783,2284071,33,27,27,7,532000,26
Arizona,72698076,26125819,1286648,22315178,5,85,36,31,37300,36
Arkansas,33301924,13888929,7825947,334469,56,2,42,1,2610000,42
California,99702872,24522801,9597439,12065857,39,49,25,12,1180000,25
Colorado,66329503,31820957,11056259,19189297,35,60,48,29,1460000,48
Connecticut,3099348,381539,148609,41209,39,11,12,1,47000,12
Delaware,1247200,525324,452211,12567,86,2,42,1,180000,42
Florida,34325766,9731731,2825803,3928503,29,40,28,11,354100,28
Georgia,36862570,9953730,4372134,1485431,44,15,27,4,1400000,27
Idaho,52892456,11691912,5894676,5069141,50,43,22,10,310000,22
Illinois,35529830,27006288,24003086,923869,89,3,76,3,10500000,76
Indiana,22928355,14969996,12909673,601798,86,4,65,3,5000000,65
Iowa,35747295,30563878,26545960,204403,87,1,86,1,13500000,85
Kansas,52325346,45759319,29125505,15331334,64,34,88,29,6400000,87
Kentucky,25270506,12961784,6630448,3346121,51,26,51,13,1550000,51
Louisiana,27652280,7997511,4345843,1878721,54,23,29,7,890000,29
Maine,19740213,1307613,472508,73934,36,6,7,0,52000,7
Maryland,6254001,1990122,1426671,153036,72,8,32,2,510000,32
Massachusetts,4992589,491653,171496,53000,35,11,10,1,12300,10
Michigan,36197991,9764090,7924480,438630,81,4,27,1,2000000,27
Minnesota,55643000,25516982,21786756,1235718,85,5,46,0,7800000,46
Mississippi,30030781,10415136,4960620,1705233,48,16,35,6,1630000,35
Missouri,43997619,27781883,15599446,7458782,56,27,63,17,5010000,63
Montana,93149066,58122878,16406300,39100067,28,67,62,42,5450000,62
Nebraska,49163591,44986821,22242599,21855382,49,49,92,44,10100000,92
Nevada,70259311,6128153,794699,4918798,13,80,9,7,435000,9
NewHampshire,5729743,425393,107996,32307,25,8,7,1,49000,7
NewJersey,4707289,734084,463019,81720,63,11,16,2,9300,16
NewMexico,77638394,40659836,1825827,36370927,4,89,53,47,245000,52
NewYork,30158965,6866171,4291388,721607,63,11,23,2,1180000,23
NorthCarolina,31115442,8430522,5000685,1043121,59,12,27,3,1520000,27
NorthDakota,44160310,39341591,27951676,10412941,71,26,89,24,3500000,89
Ohio,26151973,13965295,10960704,1085152,78,8,53,4,4270000,53
Oklahoma,43901845,34156290,11715717,20726179,34,61,78,47,3005000,78
Oregon,61431471,15962322,4726109,9426015,30,59,26,15,970000,26
Pennsylvania,28634936,7278668,4651210,861700,64,12,25,3,1430000,25
RhodeIsland,661748,56864,17654,6743,31,12,9,1,5000,9
SouthCarolina,19240301,4744913,2035329,638025,43,13,25,3,380000,25
SouthDakota,48517967,43243742,19813517,22493221,46,52,89,46,4350000,89
Tennessee,26390363,10874238,5286321,2835517,49,26,41,11,950000,41
Texas,167201869,127036184,29360229,91381312,23,72,76,55,5260000,76
Utah,52604996,10811604,1654371,8722244,15,81,21,17,680000,21
Vermont,5889260,1193437,479680,134280,40,11,20,2,265000,20
Virginia,25267572,7797979,479680,2217570,6,28,31,9,1145000,31
Washington,42529753,14679857,7488625,4754417,51,32,34,11,172000,35
WestVirginia,15386181,3662178,947710,1099575,26,30,24,7,515000,24
Wisconsin,34662826,14318630,10085021,1141266,70,8,41,3,3800000,41
Wyoming,62138516,29004884,2587456,26063176,9,90,47,42,1150000,47
